,RegionID,RegionName,City,State,Metro,CountyName,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2011-2015,2015-2019
0,274772,Northeast Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,1346,1284,1342,1445,1538,1651,1729,1790,1822,0.1426448736998514,0.1846553966189857
1,112345,Maryvale,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,891,853,868,890,933,954,1033,1104,1196,0.04713804713804714,0.28188638799571275
2,270958,Upper West Side,New York,NY,New York-Newark-Jersey City,New York County,3383,3132,3291,3512,3901,3907,3817,3775,3922,0.1531185338456991,0.0053832350679313
3,118208,South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1700,1679,1683,1769,1939,2098,2252,2423,2536,0.14058823529411765,0.3078906652913873
4,270957,Upper East Side,New York,NY,New York-Newark-Jersey City,New York County,3068,2995,3150,3209,3502,3566,3530,3486,3532,0.14146023468057367,0.008566533409480296
5,192820,Sunrise Manor,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,1021,1000,982,988,1030,1042,1092,1175,1220,0.00881488736532811,0.18446601941747573
6,268496,Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1565,1558,1613,1670,1819,1968,2121,2345,2460,0.1623003194888179,0.3523914238592633
7,194430,East New York,New York,NY,New York-Newark-Jersey City,Kings County,1503,1554,1662,1812,2005,2220,2249,2203,2235,0.33399866932801064,0.11471321695760599
8,112547,Paradise Valley,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1395,1307,1343,1344,1407,1472,1547,1591,1661,0.008602150537634409,0.18052594171997158
9,198687,Washington Heights,New York,NY,New York-Newark-Jersey City,New York County,2235,1920,1919,2067,2339,2646,2644,2631,2563,0.046532438478747204,0.09576742197520308
10,111818,Deer Valley,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1141,1117,1154,1168,1198,1241,1291,1343,1418,0.04995617879053462,0.18363939899833054
11,272816,Astoria,New York,NY,New York-Newark-Jersey City,Queens County,1684,1728,1892,2116,2462,2465,2305,2242,2249,0.46199524940617576,-0.08651502843216897
12,273698,Far North,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,1799,1813,1864,1948,2099,2198,2199,2234,2241,0.16675931072818231,0.06765126250595521
13,272902,Bedford Stuyvesant,New York,NY,New York-Newark-Jersey City,Kings County,1577,1669,1814,2225,2428,2500,2484,2497,2483,0.5396322130627774,0.022652388797364087
14,199001,Williamsburg,New York,NY,New York-Newark-Jersey City,Kings County,2125,2192,2468,2653,2772,2922,2939,2853,2793,0.3044705882352941,0.007575757575757576
15,32059,Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,2116,2090,2056,2172,2477,2699,2863,2827,2886,0.17060491493383742,0.16511909568025837
16,267908,Camelback East,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,1184,1122,1175,1195,1243,1330,1387,1435,1518,0.04983108108108108,0.22123893805309736
17,273566,East Side,El Paso,TX,El Paso,El Paso County,1091,1092,1028,1036,1039,1073,998,1029,1037,-0.04766269477543538,-0.0019249278152069298
18,194737,Flatbush,New York,NY,New York-Newark-Jersey City,Kings County,1583,1595,1719,1932,2013,2120,2202,2302,2239,0.2716361339229311,0.1122702434177844
19,275473,Southeast Dallas,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,863,857,874,943,994,995,1100,1196,1257,0.15179606025492468,0.26458752515090544
20,272734,Alhambra,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,937,908,931,954,985,1040,1107,1185,1271,0.051227321237993596,0.29035532994923857
21,403222,Crown Heights,New York,NY,New York-Newark-Jersey City,Kings County,1540,1649,1777,2060,2307,2406,2450,2446,2418,0.4980519480519481,0.04811443433029909
22,25294,Jamaica,New York,NY,New York-Newark-Jersey City,Queens County,1633,1617,1677,1826,1901,2130,2198,2150,2243,0.16411512553582364,0.17990531299316148
