,GEOID,Name,RegionID
0,170310306041,Edgewater Beach,403257
1,170310306042,Edgewater Beach,403257
2,170310306043,Edgewater Beach,403257
3,170310307011,Edgewater Beach,403257
4,170310307021,Edgewater Beach,403257
5,170310307022,Edgewater Beach,403257
6,170310307032,Edgewater Beach,403257
7,170310307062,Edgewater Beach,403257
8,170310308004,Edgewater Beach,403257
8,170310308004,Andersonville,269567
8,170310308004,Lakewood - Balmoral,403260
9,170310309004,Andersonville,269567
9,170310309004,Bowmanville,403263
10,170310310003,Ravenswood,33597
11,170310312001,Uptown,269609
12,170310312004,Uptown,269609
12,170310312004,Edgewater Beach,403257
13,170310314005,Buena Park,403264
13,170310314005,Lake View,269589
14,170310315012,Uptown,269609
14,170310315012,Margate Park,403266
15,170310315022,Uptown,269609
16,170310317003,Sheridan Park,403265
16,170310317003,Ravenswood,33597
17,170310319002,North Center,269600
17,170310319002,South East Ravenswood,403293
17,170310319002,Graceland West,403267
17,170310319002,Ravenswood,33597
18,170310321004,Buena Park,403264
19,170310401003,Budlong Woods,403262
19,170310401003,Bowmanville,403263
20,170310402014,Ravenswood,33597
20,170310402014,Lincoln Square,269591
21,170310402023,Budlong Woods,403262
22,170310403003,Albany Park,269566
22,170310403003,Ravenswood,33597
22,170310403003,North Park,276477
22,170310403003,Budlong Woods,403262
23,170310404013,Ravenswood,33597
23,170310404013,Bowmanville,403263
24,170310404022,Ravenswood,33597
24,170310404022,Bowmanville,403263
25,170310406001,Ravenswood,33597
26,170310407002,Ravenswood Gardens,403261
26,170310407002,Ravenswood,33597
26,170310407002,Lincoln Square,269591
27,170310408001,Ravenswood Gardens,403261
27,170310408001,Ravenswood,33597
28,170310503001,North Center,269600
28,170310503001,Ravenswood Gardens,403261
28,170310503001,Ravenswood,33597
29,170310505001,North Center,269600
30,170310505003,North Center,269600
31,170310506002,Roscoe Village,403292
31,170310506002,Lake View,269589
31,170310506002,North Center,269600
32,170310510001,Roscoe Village,403292
32,170310510001,Lake View,269589
33,170310513001,Roscoe Village,403292
33,170310513001,Lake View,269589
34,170310514002,Bucktown,137603
34,170310514002,Lathrop Homes,403296
34,170310514002,Avondale,269573
34,170310514002,Lake View,269589
35,170310602001,North Center,269600
35,170310602001,South East Ravenswood,403293
35,170310602001,Graceland West,403267
35,170310602001,Ravenswood,33597
36,170310603002,Roscoe Village,403292
36,170310603002,Lake View,269589
36,170310603002,North Center,269600
37,170310605001,Wrigleyville,403294
37,170310605001,Buena Park,403264
37,170310605001,Lake View,269589
37,170310605001,Graceland West,403267
38,170310609002,Lake View East,403295
38,170310609002,Lake View,269589
39,170310609005,Lake View East,403295
40,170310615001,Lake View,269589
41,170310619014,Lake View East,403295
42,170310621002,Wrigleyville,403294
42,170310621002,Lake View,269589
43,170010001001,,
44,170010001002,,
45,170010001003,,
46,170010001004,,
47,170010001005,,
48,170010002021,,
49,170010004002,,
50,170010005002,,
51,170010006002,,
52,170010008003,,
53,170010010011,,
54,170010010021,,
55,170010011004,,
56,170010102002,,
57,170010103006,,
58,170010105001,,
59,170010106005,,
60,170039578002,,
61,170039579002,,
62,170059513002,,
63,170059515004,,
64,170070102001,,
65,170070103002,,
66,170070105001,,
67,170070105004,,
68,170070106023,,
69,170099705001,,
70,170119647004,,
71,170119649003,,
72,170119650003,,
73,170119651002,,
74,170119652002,,
75,170119654001,,
76,170119655001,,
77,170119655003,,
78,170119656002,,
79,170159601002,,
80,170159601003,,
81,170159601004,,
82,170159603003,,
83,170159604002,,
84,170179603003,,
85,170179604001,,
86,170179604002,,
87,170179605003,,
88,170190003011,,
89,170190003023,,
90,170190004021,,
91,170190005003,,
92,170190007002,,
93,170190009012,,
94,170190010001,,
95,170190011001,,
96,170190012011,,
97,170190012032,,
98,170190012051,,
99,170190012062,,
100,170190013014,,
101,170190014002,,
102,170190053003,,
103,170190054014,,
104,170190054023,,
105,170190056002,,
106,170190057011,,
107,170190058001,Downtown,762883
108,170190058005,,
109,170190060002,,
110,170190101005,,
