,ind_apt,ind_ll,Address_apt,Address_ll,distance
0,4817146,1,"1355 W 110th Pl 1, Chicago, IL 60643",1353-55 W 110TH PL,0.01309014539059994
1,4817148,1,"1355 W 110th Pl 2, Chicago, IL 60643",1353-55 W 110TH PL,0.01309014539059994
2,4642779,3,"4728 W Gladys Ave , Chicago, IL 60644",4725 W JACKSON BLVD,0.04526787854207641
3,4631504,6,"6134 S Saint Lawrence Ave , Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.037316522083041766
4,4689247,6,"6134 S Saint Lawrence Ave  3, Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.0018417142106240771
5,4690817,6,"6115 S Saint Lawrence Ave  , Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.02497172392857535
6,4738829,6,"548 E 61st St  2, Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.046936285257647044
7,4750063,6,"548 E 61st St  3, Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.046936285257647044
8,4764983,6,"6116 S Saint Lawrence Ave 1, Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.009510568900635865
9,4815651,6,"6107 S Saint Lawrence Ave , Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.025169654326613878
10,4552792,7,"6216 S Hermitage Ave 1, Chicago, IL 60636",6207 S WOOD ST,0.04302409048752842
11,4772525,7,"6216 S Hermitage Ave  1, Chicago, IL 60636",6207 S WOOD ST,0.04772706636349375
12,4772531,7,"6216 S Hermitage Ave  2, Chicago, IL 60636",6207 S WOOD ST,0.04772706636349375
13,4822435,7,"6225 S Wood St 2, Chicago, IL 60636",6207 S WOOD ST,0.0332256644012669
14,4639611,9,"6435 S Yale Ave , Chicago, IL 60621",6430 S YALE AVE,0.02152237077423686
15,4637730,10,"6922 S Green St , Chicago, IL 60621",6929 S GREEN ST,0.029842538628245995
16,4804141,10,"6939 S Green St 1, Chicago, IL 60621",6929 S GREEN ST,0.023722350470041675
17,4804143,10,"6939 S Green St 2, Chicago, IL 60621",6929 S GREEN ST,0.023722350470041675
18,4804144,10,"6939 S Green St G, Chicago, IL 60621",6929 S GREEN ST,0.023722350470041675
19,4816686,10,"6928 S Green St 1, Chicago, IL 60621",6929 S GREEN ST,0.02275770343971754
20,4555269,11,"7013 S California Ave 2, Chicago, IL 60629",7013 S CALIFORNIA AVE,0.011290404839356658
21,4555270,11,"7013 S California Ave 2, Chicago, IL 60629",7013 S CALIFORNIA AVE,0.011290404839356658
22,4229161,12,"7615 S Morgan St B, Chicago, IL 60620",7616 S MORGAN ST,0.026836563880397075
23,4343586,12,"7615 S Morgan St 1, Chicago, IL 60620",7616 S MORGAN ST,0.02402596215506752
24,4831707,12,"1008 W 76th St 2, Chicago, IL 60620",7616 S MORGAN ST,0.04579057801698087
25,4600864,13,"7759 S Aberdeen St  , Chicago, IL 60620",7718-20 S CARPENTER ST,0.049946297145271504
26,4678766,13,"7724 S Carpenter St  1, Chicago, IL 60620",7718-20 S CARPENTER ST,0.001684372268854551
27,4722998,13,"7729 S Carpenter St  , Chicago, IL 60620",7718-20 S CARPENTER ST,0.01188791685800905
28,4724597,13,"7721 S Carpenter St  2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.01188791685800905
29,4742604,13,"7750 S Carpenter St  1, Chicago, IL 60620",7718-20 S CARPENTER ST,0.001684372268854551
30,4750424,13,"7729 S Carpenter St  2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.01188791685800905
31,4758776,13,"7728 S Carpenter St  , Chicago, IL 60620",7718-20 S CARPENTER ST,0.021918981185344466
32,4765884,13,"7741 S Carpenter St  2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.04645353689319702
33,4789343,13,"7759 S Aberdeen St 2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.049946297145271504
34,4790940,13,"7725 S Aberdeen St 2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.04669571959426385
35,4198412,14,"8006 S Ingleside Ave , Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.025579682743333068
36,4539882,14,"7956 S Ellis Ave 3, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.04538524504307553
37,4723130,14,"936 E 80th St  1, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.028718595683530544
38,4726015,14,"942 E 80th St  1, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.02137199330028282
39,4726024,14,"936 E 80th St  3, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.028718595683530544
40,4823301,14,"936 E 80th St 1, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.018771789105241094
41,4823309,14,"936 E 80th St 2, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.018771789105241094
42,4823313,14,"936 E 80th St 3, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.018771789105241094
43,4832568,14,"8005 S Drexel Ave 2, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.049238733030684594
44,4832571,14,"8005 S Drexel Ave 2, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.049238733030684594
45,4832576,14,"907 E 80th St 2, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.049238733030684594
