,ind_apt,ind_ll,Address_apt,Address_ll,distance,same_address
0,4817146,1,"1355 W 110th Pl 1, Chicago, IL 60643",1353-55 W 110TH PL,0.0130901454,1
1,4817148,1,"1355 W 110th Pl 2, Chicago, IL 60643",1353-55 W 110TH PL,0.0130901454,1
2,4642779,3,"4728 W Gladys Ave , Chicago, IL 60644",4725 W JACKSON BLVD,0.0452678785,
3,4631504,6,"6134 S Saint Lawrence Ave , Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.0373165221,
4,4689247,6,"6134 S Saint Lawrence Ave  3, Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.0018417142,
5,4690817,6,"6115 S Saint Lawrence Ave  , Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.0249717239,
6,4738829,6,"548 E 61st St  2, Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.0469362853,
7,4750063,6,"548 E 61st St  3, Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.0469362853,
8,4764983,6,"6116 S Saint Lawrence Ave 1, Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.0095105689,1
9,4815651,6,"6107 S Saint Lawrence Ave , Chicago, IL 60637",6116 S ST LAWRENCE AVE,0.0251696543,
10,4552792,7,"6216 S Hermitage Ave 1, Chicago, IL 60636",6207 S WOOD ST,0.0430240905,
11,4772525,7,"6216 S Hermitage Ave  1, Chicago, IL 60636",6207 S WOOD ST,0.0477270664,
12,4772531,7,"6216 S Hermitage Ave  2, Chicago, IL 60636",6207 S WOOD ST,0.0477270664,
13,4822435,7,"6225 S Wood St 2, Chicago, IL 60636",6207 S WOOD ST,0.0332256644,
14,4639611,9,"6435 S Yale Ave , Chicago, IL 60621",6430 S YALE AVE,0.0215223708,
15,4637730,10,"6922 S Green St , Chicago, IL 60621",6929 S GREEN ST,0.0298425386,
16,4804141,10,"6939 S Green St 1, Chicago, IL 60621",6929 S GREEN ST,0.0237223505,
17,4804143,10,"6939 S Green St 2, Chicago, IL 60621",6929 S GREEN ST,0.0237223505,
18,4804144,10,"6939 S Green St G, Chicago, IL 60621",6929 S GREEN ST,0.0237223505,
19,4816686,10,"6928 S Green St 1, Chicago, IL 60621",6929 S GREEN ST,0.0227577034,
20,4555269,11,"7013 S California Ave 2, Chicago, IL 60629",7013 S CALIFORNIA AVE,0.0112904048,1
21,4555270,11,"7013 S California Ave 2, Chicago, IL 60629",7013 S CALIFORNIA AVE,0.0112904048,1
22,4229161,12,"7615 S Morgan St B, Chicago, IL 60620",7616 S MORGAN ST,0.0268365639,
23,4343586,12,"7615 S Morgan St 1, Chicago, IL 60620",7616 S MORGAN ST,0.0240259622,
24,4831707,12,"1008 W 76th St 2, Chicago, IL 60620",7616 S MORGAN ST,0.045790578,
25,4600864,13,"7759 S Aberdeen St  , Chicago, IL 60620",7718-20 S CARPENTER ST,0.0499462971,
26,4678766,13,"7724 S Carpenter St  1, Chicago, IL 60620",7718-20 S CARPENTER ST,0.0016843723,
27,4722998,13,"7729 S Carpenter St  , Chicago, IL 60620",7718-20 S CARPENTER ST,0.0118879169,
28,4724597,13,"7721 S Carpenter St  2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.0118879169,
29,4742604,13,"7750 S Carpenter St  1, Chicago, IL 60620",7718-20 S CARPENTER ST,0.0016843723,
30,4750424,13,"7729 S Carpenter St  2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.0118879169,
31,4758776,13,"7728 S Carpenter St  , Chicago, IL 60620",7718-20 S CARPENTER ST,0.0219189812,
32,4765884,13,"7741 S Carpenter St  2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.0464535369,
33,4789343,13,"7759 S Aberdeen St 2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.0499462971,
34,4790940,13,"7725 S Aberdeen St 2, Chicago, IL 60620",7718-20 S CARPENTER ST,0.0466957196,
35,4198412,14,"8006 S Ingleside Ave , Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.0255796827,
36,4539882,14,"7956 S Ellis Ave 3, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.045385245,
37,4723130,14,"936 E 80th St  1, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.0287185957,
38,4726015,14,"942 E 80th St  1, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.0213719933,
39,4726024,14,"936 E 80th St  3, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.0287185957,
40,4823301,14,"936 E 80th St 1, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.0187717891,
41,4823309,14,"936 E 80th St 2, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.0187717891,
42,4823313,14,"936 E 80th St 3, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.0187717891,
43,4832568,14,"8005 S Drexel Ave 2, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.049238733,1
44,4832571,14,"8005 S Drexel Ave 2, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.049238733,1
45,4832576,14,"907 E 80th St 2, Chicago, IL 60619",8003-05 S INGLESIDE AVE,0.049238733,
