Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
South Shore,660.0,1073.830303030303,0.0,0.0,0.0,0.0,0.0,0.31187379569525114,1439.0,612.0,0.09493963185326912,0.040377383387213826,0.9711538461538461,15157.0,0.043544236986210995,40978.0,0.12533232054690469,1,0.9279614890917075,0.02040726731416858,0.022797945238908685
Englewood,409.0,1088.122249388753,21.0,128.0,0.05134474327628362,0.31295843520782396,0.0,0.42024069617928,739.0,248.0,0.06635539193678729,0.022268115291371106,0.8701923076923077,11137.0,0.03672443207326928,43552.0,0.07766805924800607,1,0.9442266991182954,0.026292376928728878,0.012380715007347538
Archer Heights,376.0,1261.1755319148936,87.0,227.0,0.23138297872340424,0.6037234042553191,0.0,0.3718110515001046,605.0,208.0,0.051423714407139824,0.017679558011049725,0.7788461538461539,11765.0,0.0319592010199745,52563.0,0.07140144322066085,1,0.6934367235507868,0.22270516523029504,0.06303023800011415
Gresham,354.0,1091.9378531073446,0.0,0.0,0.0,0.0,0.0,0.266075975149582,715.0,279.0,0.06739560750306343,0.026298425864831748,0.9182692307692307,10609.0,0.033367895183334904,47967.0,0.06722369920243068,1,0.9661010069422729,0.014446761315070777,0.005212571142660579
South Austin,283.0,1215.9787985865723,45.0,174.0,0.15901060070671377,0.6148409893992933,0.0,0.2777209866662127,968.0,362.0,0.0684437530934031,0.02559570105352471,0.9086538461538461,14143.0,0.020009898889910203,58723.0,0.05374097987086973,1,0.9120438788890212,0.06068815455613642,0.02096121451560717
South Chicago,243.0,1078.633744855967,0.0,0.0,0.0,0.0,0.0,0.27671209823812065,463.0,198.0,0.06677242572829535,0.028554946639746177,0.9326923076923077,6934.0,0.03504470723968849,28095.0,0.04614508165590581,1,0.7409887809218721,0.21651145043602066,0.027835308773803167
Park Manor,218.0,1092.6743119266055,17.0,94.0,0.0779816513761468,0.43119266055045874,0.0,0.3585710485413678,328.0,122.0,0.06783867631851086,0.025232678386763185,0.8990384615384616,4835.0,0.04508790072388832,16728.0,0.04139764527155336,1,0.9784850789096127,0.010290584648493544,0.007598613103778097
West Woodlawn,204.0,1139.4460784313726,75.0,202.0,0.36764705882352944,0.9901960784313726,0.0,0.46879988685222895,205.0,76.0,0.0684931506849315,0.02539258269295022,0.9038461538461539,2993.0,0.0681590377547611,8838.0,0.03873908089631599,1,0.9201137927132836,0.026251900882552612,0.028630063362751756
Grand Crossing,173.0,1111.9537572254335,0.0,0.0,0.0,0.0,0.0,0.40887852474323055,258.0,111.0,0.06209386281588448,0.026714801444043323,0.9278846153846154,4155.0,0.04163658243080626,14994.0,0.03285225977971895,1,0.9691892156862746,0.010072855808990262,0.008865606242496998
East Garfield Park,167.0,1236.1556886227545,63.0,110.0,0.3772455089820359,0.6586826347305389,0.0,0.3864655288143078,307.0,125.0,0.04765600745110214,0.01940391182862465,0.8221153846153846,6442.0,0.025923626203042532,22645.0,0.031712875047474366,1,0.8890329388385957,0.0612438419077059,0.043009344226098485
