,Address,Monthly Rent,Property Type,Bath,Bed,Availability,Contact,URL,State,County,City,Neighborhood,2016_evict_rate,er_percentile,2016_evict_filing_rate,efr_percentile,2011-2015_rent_perc_change,2015-2019_rent_perc_change,potential_bad_landlord,bad_landlord_address,num_stops_quart_mi,num_stops_half_mi,num_stops_3quart_mi,num_stops_1_mi
87,"6618 S Maryland Ave 2, Chicago, IL 60637",1100,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4177197,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
164,"6526 S Drexel Ave , Chicago, IL 60637",1000,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4276320,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
196,"6319 S Ellis Ave 2, Chicago, IL 60637",1000,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4296404,IL,Cook,Chicago,Woodlawn,0.69,0.0994113178883403,1.74,0.035700721610330416,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
268,"6526 S Drexel Ave , Chicago, IL 60637",1200,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4348445,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
423,"941 E Marquette Rd  1, Chicago, IL 60637",1100,Apt,1.0,2.0,Available Now,(773) 633-2369,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4509190,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
430,"6609 S Drexel Ave 2, Chicago, IL 60637",1100,Apt,1.0,3.0,Available Now,(708) 473-5464,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4514333,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,4,4
737,"6659 S Maryland Ave 1, Chicago, IL 60637",1100,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4569297,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
774,"925 E Marquette Rd , Chicago, IL 60637",1000,Apt,1.0,2.0,Available Now,(773) 285-3310,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4574061,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
999,"7941 S Woodlawn Ave 1, Chicago, IL 60619",1200,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4592021,IL,Cook,Chicago,Avalon Park,5.58,0.9248955563995442,10.66,0.8454234713254842,-0.007418397626112759,0.07698056801195814,False,,0,0,0,0
1083,"6615 S Greenwood Ave , Chicago, IL 60637",1095,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4600358,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
