,Address,Monthly Rent,Property Type,Bath,Bed,Availability,Contact,URL,State,County,City,Neighborhood,2016_evict_rate,er_percentile,2016_evict_filing_rate,efr_percentile,2011-2015_rent_perc_change,2015-2019_rent_perc_change,potential_bad_landlord,bad_landlord_address,num_stops_quart_mi,num_stops_half_mi,num_stops_3quart_mi,num_stops_1_mi
423,"941 E Marquette Rd  1, Chicago, IL 60637",1100,Apt,1.0,2.0,Available Now,(773) 633-2369,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4509190,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
774,"925 E Marquette Rd , Chicago, IL 60637",1000,Apt,1.0,2.0,Available Now,(773) 285-3310,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4574061,IL,Cook,Chicago,Woodlawn,3.46,0.7174325864033422,8.07,0.6711925560197494,-0.027007818052594168,0.024105186267348432,False,,0,2,2,4
1589,"6619 S Greenwood Ave , Chicago, IL 60637",1000,Apt,1.0,2.0,Available Now,(312) 852-3387,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4641459,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1607,"6625 S Greenwood Ave 2, Chicago, IL 60637",1100,Apt,1.0,2.0,Available Now,(773) 491-4904,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4643217,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1709,"6619 S Greenwood Ave , Chicago, IL 60637",1050,Apt,1.0,2.0,Available Now,(844) 333-9700,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4650807,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1746,"6623 S Greenwood Ave 3a, Chicago, IL 60637",1200,Apt,1.0,2.0,Available Now,(773) 491-4904,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4654172,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
1803,"6621 S Greenwood Ave 2, Chicago, IL 60637",1200,Apt,1.0,2.0,Available Now,(773) 491-4904,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4659369,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
2627,"6660 S University Ave 1g, Chicago, IL 60637",1190,Apt,1.0,2.0,Available Now,(847) 414-7330,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4724387,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
2689,"6619 S Greenwood Ave  2, Chicago, IL 60637",1000,Apt,1.0,2.0,Available Now,(312) 852-3387,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4728399,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
3188,"6625 S Greenwood Ave 2, Chicago, IL 60637",1000,Apt,1.0,2.0,Available Now,(773) 491-4904,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4759254,IL,Cook,Chicago,Woodlawn,2.69,0.5341815419673377,4.93,0.28731484998101026,-0.027007818052594168,0.024105186267348432,False,,0,0,2,4
