,Address,Monthly Rent,Property Type,Bath,Bed,Voucher Necessary,Availability,Contact,URL,Lat,Long,Coordinates,GEOID,State,County,City,Name,RegionID,year,eviction-rate,eviction-filing-rate,2011-2015,2015-2019
0,"1718 W 66th St 1, Chicago, IL 60636",800,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/1288108,41.774,-87.6673,POINT (-87.6673 41.774),170316712002,IL,Cook,Chicago,West Englewood,269612,2016,1.54,4.62,0.0024813895781637717,0.11303630363036303
1,"6130 S Eberhart Ave 1, Chicago, IL 60637",1200,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4012748,41.783,-87.6136,POINT (-87.61360000000001 41.783),170314206001,IL,Cook,Chicago,West Woodlawn,403353,2016,2.81,8.15,-0.04661654135338346,0.026813880126182965
2,"4827 S Seeley Ave , Chicago, IL 60609",600,Apt,1.0,1.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4017021,41.8058,-87.6756,POINT (-87.6756 41.8058),170316115001,IL,Cook,Chicago,Back of the Yards,403146,2016,0.42,2.09,0.0,0.08339828526890102
3,"828 E 88th Pl 2, Chicago, IL 60619",875,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4036551,41.73419,-87.603472,POINT (-87.603472 41.73419),170314408001,IL,Cook,Chicago,Burnside,137634,2016,2.26,7.89,0.01499605367008682,0.09720062208398134
4,"4620 S Evans Ave 1, Chicago, IL 60653",1150,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4036578,41.810646,-87.608165,POINT (-87.608165 41.810646),170318436002,IL,Cook,Chicago,Bronzeville,403145,2016,2.73,5.45,0.0026827632461435278,0.030100334448160536
5,"8200 S Escanaba Ave 1r, Chicago, IL 60617",1000,Duplex,2.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Duplex/4062682,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437,2016,2.99,5.97,0.02642113690952762,0.06708268330733229
6,"211 N Laporte Ave 2, Chicago, IL 60644",950,Duplex,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Duplex/4062710,41.8849,-87.7488,POINT (-87.7488 41.8849),170312518005,IL,Cook,Chicago,South Austin,403120,2016,0.99,4.28,-0.003479471120389701,0.05377094972067039
7,"525 N Homan Ave , Chicago, IL 60624",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062715,41.8911,-87.7109,POINT (-87.7109 41.8911),170318367001,IL,Cook,Chicago,East Garfield Park,269577,2016,3.61,6.94,-0.012162162162162163,0.03419972640218878
8,"1352 W 64th St 2, Chicago, IL 60636",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062722,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261,2016,2.46,8.48,-0.018268467037331215,0.0744336569579288
9,"1352 W 64th St 2, Chicago, IL 60636",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062766,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261,2016,2.46,8.48,-0.018268467037331215,0.0744336569579288
10,"4948 S Laflin St G, Chicago, IL 60609",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062781,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146,2016,1.47,2.7,0.0,0.08339828526890102
