,Address,Monthly Rent,Property Type,Bath,Bed,Voucher Necessary,Availability,Contact,URL,Lat,Long,Coordinates,GEOID,State,County,City,Name,RegionID
1288108,"1718 W 66th St 1, Chicago, IL 60636",800,Apt,1.0,2.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/1288108,41.774,-87.6673,POINT (-87.6673 41.774),170316712002,IL,Cook,Chicago,West Englewood,269612
4012748,"6130 S Eberhart Ave 1, Chicago, IL 60637",1200,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4012748,41.783,-87.6136,POINT (-87.61360000000001 41.783),170314206001,IL,Cook,Chicago,West Woodlawn,403353
4017021,"4827 S Seeley Ave , Chicago, IL 60609",600,Apt,1.0,1.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4017021,41.8058,-87.6756,POINT (-87.6756 41.8058),170316115001,IL,Cook,Chicago,Back of the Yards,403146
4036551,"828 E 88th Pl 2, Chicago, IL 60619",875,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4036551,41.73419,-87.603472,POINT (-87.603472 41.73419),170314408001,IL,Cook,Chicago,Burnside,137634
4036578,"4620 S Evans Ave 1, Chicago, IL 60653",1150,Apt,1.0,3.0,Yes,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4036578,41.810646,-87.608165,POINT (-87.608165 41.810646),170318436002,IL,Cook,Chicago,Bronzeville,403145
4062682,"8200 S Escanaba Ave 1r, Chicago, IL 60617",1000,Duplex,2.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Duplex/4062682,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437
4062710,"211 N Laporte Ave 2, Chicago, IL 60644",950,Duplex,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Duplex/4062710,41.8849,-87.7488,POINT (-87.7488 41.8849),170312518005,IL,Cook,Chicago,South Austin,403120
4062715,"525 N Homan Ave , Chicago, IL 60624",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062715,41.8911,-87.7109,POINT (-87.7109 41.8911),170318367001,IL,Cook,Chicago,East Garfield Park,269577
4062722,"1352 W 64th St 2, Chicago, IL 60636",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062722,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261
4062766,"1352 W 64th St 2, Chicago, IL 60636",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062766,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261
4062781,"4948 S Laflin St G, Chicago, IL 60609",950,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062781,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146
4062788,"4948 S Laflin St 1, Chicago, IL 60609",950,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062788,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146
4062793,"4948 S Laflin St 2, Chicago, IL 60609",950,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062793,41.8036,-87.6627,POINT (-87.6627 41.8036),170316112002,IL,Cook,Chicago,Back of the Yards,403146
4062795,"1352 W 64th St 1, Chicago, IL 60636",1150,Apt,2.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4062795,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261
4062806,"6024 S St Lawrnc Ave 2, Chicago, IL 60637",1350,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062806,41.785,-87.6112,POINT (-87.6112 41.785),170314206001,IL,Cook,Chicago,West Woodlawn,403353
4062807,"6024 S St Lawrnc Ave 3, Chicago, IL 60637",1350,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062807,41.785,-87.6112,POINT (-87.6112 41.785),170314206001,IL,Cook,Chicago,West Woodlawn,403353
4062810,"6621 S Marshfield Ave 1, Chicago, IL 60636",1350,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062810,41.7733,-87.665,POINT (-87.66500000000001 41.7733),170316715001,IL,Cook,Chicago,West Englewood,269612
4062811,"6621 S Marshfield Ave 2, Chicago, IL 60636",1350,Apt,1.0,4.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-1-bathroom-rental-Apt/4062811,41.7733,-87.665,POINT (-87.66500000000001 41.7733),170316715001,IL,Cook,Chicago,West Englewood,269612
4062815,"6718 S Clyde Ave 3s, Chicago, IL 60649",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062815,41.7728663,-87.5742095,POINT (-87.57420949999999 41.7728663),170314301014,IL,Cook,Chicago,South Shore,269608
4062817,"6805 S Langley Ave 1, Chicago, IL 60637",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062817,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356
4062818,"6805 S Langley Ave 2, Chicago, IL 60637",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062818,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356
4062819,"6805 S Langley Ave 3, Chicago, IL 60637",900,Apt,1.0,2.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/4062819,41.771,-87.6078,POINT (-87.6078 41.771),170314212002,IL,Cook,Chicago,Park Manor,403356
4062822,"7136 S East End Ave 3n, Chicago, IL 60649",1150,Apt,1.0,3.0,Yes,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062822,41.7649399,-87.5839979,POINT (-87.5839979 41.7649399),170314305003,IL,Cook,Chicago,South Shore,269608
