Neighborhood,num_cha_properties,Avg_cha_monthly_rent,stop_wi_quart_mi,stop_wi_half_mi,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,num_props_w_potential_bad_landlord,poverty_rate,eviction-filings,evictions,eviction_filing_rate,eviction_rate,evictions_chi_percentile_rank,renter-occupied-households,perc_rentals_hcv,population,perc_hcv_in_neigh,at_least_10_homes,perc_black,perc_latino,perc_white
South Shore,535.0,1070.988785046729,0.0,0.0,0.0,0.0,0.0,0.3018809892128971,1154.0,482.0,0.093072021937253,0.038874102750221795,0.9746192893401016,12399.0,0.04314864101943705,33744.0,0.10159513862514243,1,0.919775657894737,0.02276480559506875,0.02327080666192509
Archer Heights,478.0,1257.31589958159,126.0,316.0,0.26359832635983266,0.6610878661087866,0.0,0.39422528043452576,842.0,285.0,0.051536295752234056,0.01744399559309585,0.8020304568527918,16338.0,0.0292569469947362,67752.0,0.09077098366881883,1,0.7421494804581413,0.19143748081237452,0.04911009121501948
Englewood,407.0,1112.0,26.0,148.0,0.06388206388206388,0.36363636363636365,0.0,0.4452829306760342,788.0,275.0,0.06975920679886685,0.024344900849858356,0.8984771573604061,11296.0,0.03603045325779037,41847.0,0.07728826433725788,1,0.9528738762635314,0.025048713169402825,0.008103125672091187
Gresham,386.0,1087.2538860103627,1.0,1.0,0.0025906735751295338,0.0025906735751295338,5.0,0.23827975326435719,827.0,317.0,0.07088368903745607,0.027170652267078082,0.9289340101522843,11667.0,0.03308476900659981,58281.0,0.07330041777440183,1,0.9313658533655907,0.024946842023987233,0.022428724627237006
Park Manor,274.0,1090.6131386861314,28.0,138.0,0.10218978102189781,0.5036496350364964,0.0,0.390187863427697,396.0,155.0,0.06578073089700996,0.02574750830564784,0.9086294416243654,6020.0,0.045514950166112955,20912.0,0.05203190277250285,1,0.9647171193573069,0.010335022953328233,0.01574323355011477
South Austin,273.0,1217.6630036630036,45.0,167.0,0.16483516483516483,0.6117216117216118,0.0,0.28629873584456933,907.0,340.0,0.06937433073275202,0.026005813064096682,0.9187817258883249,13074.0,0.020881138136759982,54661.0,0.05184200531712875,1,0.9248806992188213,0.05356455608203288,0.01622379027094272
South Chicago,270.0,1069.062962962963,0.0,0.0,0.0,0.0,0.0,0.2662788667488804,602.0,252.0,0.08209464066548479,0.034365198418109914,0.9695431472081218,7333.0,0.036819855447974906,30814.0,0.051272312951006455,1,0.8222626241318883,0.14042248653209582,0.022722213928733696
Grand Crossing,225.0,1111.72,0.0,0.0,0.0,0.0,0.0,0.3988207848477344,313.0,137.0,0.06199247375717964,0.027134085957615368,0.9238578680203046,5049.0,0.044563279857397504,16156.0,0.042726927459172045,1,0.9659586964595196,0.012071948502104482,0.009962435008665511
West Woodlawn,194.0,1165.3505154639174,75.0,192.0,0.3865979381443299,0.9896907216494846,2.0,0.4522811405143497,210.0,67.0,0.05585106382978723,0.017819148936170214,0.817258883248731,3760.0,0.05159574468085106,10732.0,0.03684010634257501,1,0.88595,0.029723248229593737,0.04612604360790161
Chatham,166.0,1098.686746987952,15.0,31.0,0.09036144578313253,0.18674698795180722,0.0,0.18594521989586793,288.0,116.0,0.06035205364626991,0.024308466051969825,0.8934010152284264,4772.0,0.03478625314333613,18054.0,0.031522977592100265,1,0.9697968871164286,0.00969866511576382,0.014131970754403455
