Name,population,renter-occupied-households,eviction-filings,stop_wi_half_mi,total_rent,num_props_w_potential_bad_landlord,stop_wi_quart_mi,num_cha_properties,evictions,percent_wi_quart_mi_l_stop,percent_wi_half_mi_l_stop,Avg_monthly_rent,eviction_rate,eviction_filing_rate
South Shore,44696.0,16611.0,1504.0,0,730125,0,0,680,636.0,0.0,0.0,1073.7132352941176,3.828788152429113,9.054241165492746
Englewood,49814.0,12946.0,878.0,145,485068,0,25,444,302.0,0.05630630630630631,0.32657657657657657,1092.4954954954956,2.3327668778000925,6.782017611617489
Archer Heights,40043.0,9850.0,558.0,222,467327,0,83,371,201.0,0.22371967654986524,0.5983827493261455,1259.6415094339623,2.0406091370558377,5.664974619289341
Gresham,46250.0,10340.0,714.0,0,372366,5,0,340,276.0,0.0,0.0,1095.1941176470589,2.6692456479690523,6.90522243713733
South Austin,55631.0,13243.0,936.0,167,342122,0,45,281,353.0,0.1601423487544484,0.594306049822064,1217.5160142348755,2.6655591633315714,7.067884920335271
South Chicago,28092.0,6785.0,457.0,0,231719,0,0,215,200.0,0.0,0.0,1077.7627906976745,2.9476787030213707,6.735445836403832
Park Manor,16778.0,4801.0,307.0,81,222595,0,13,205,115.0,0.06341463414634146,0.3951219512195122,1085.8292682926829,2.3953343053530514,6.394501145594668
East Garfield Park,23485.0,6508.0,311.0,110,204448,0,60,166,127.0,0.3614457831325301,0.6626506024096386,1231.6144578313254,1.9514443761524276,4.778733866011063
West Woodlawn,7597.0,2646.0,177.0,161,183637,2,72,163,64.0,0.44171779141104295,0.9877300613496932,1126.6073619631902,2.418745275888133,6.6893424036281175
Chatham,17610.0,4990.0,279.0,31,171898,0,15,158,110.0,0.0949367088607595,0.1962025316455696,1087.9620253164558,2.2044088176352705,5.591182364729459
Grand Crossing,12407.0,3059.0,217.0,0,169715,0,0,152,95.0,0.0,0.0,1116.546052631579,3.1055900621118013,7.093821510297483
Marquette Park,26959.0,5291.0,361.0,0,139551,2,0,133,145.0,0.0,0.0,1049.2556390977443,2.7405027405027407,6.822906822906822
East Chatham,6971.0,2851.0,311.0,0,139263,0,0,133,148.0,0.0,0.0,1047.0902255639098,5.191160996141705,10.9084531743248
Washington Park,14128.0,4632.0,391.0,116,162675,0,51,131,151.0,0.3893129770992366,0.8854961832061069,1241.793893129771,3.25993091537133,8.441278065630398
West Garfield Park,14913.0,3227.0,217.0,106,151188,0,15,129,83.0,0.11627906976744186,0.8217054263565892,1172.0,2.572048342113418,6.724511930585683
Woodlawn,13486.0,3956.0,192.0,65,157809,0,10,127,69.0,0.07874015748031496,0.5118110236220472,1242.5905511811025,1.744186046511628,4.853387259858443
Roseland,19903.0,4355.0,267.0,0,132600,0,0,116,99.0,0.0,0.0,1143.103448275862,2.273249138920781,6.130884041331802
Humboldt Park,22106.0,5950.0,160.0,0,101040,0,0,87,54.0,0.0,0.0,1161.3793103448277,0.9075630252100839,2.689075630252101
West Pullman,24346.0,3517.0,224.0,0,102084,0,0,86,89.0,0.0,0.0,1187.0232558139535,2.5305658231447254,6.369064543645152
West Englewood,22329.0,3906.0,263.0,30,93249,0,5,83,76.0,0.060240963855421686,0.3614457831325301,1123.4819277108434,1.9457245263696878,6.7332309267793145
Bronzeville,19929.0,8135.0,419.0,59,103061,0,37,78,159.0,0.47435897435897434,0.7564102564102564,1321.2948717948718,1.9545175169022742,5.150583896742471
Back of the Yards,18458.0,4100.0,194.0,1,73325,0,0,69,65.0,0.0,0.014492753623188406,1062.6811594202898,1.5853658536585367,4.7317073170731705
West Humboldt Park,14825.0,2778.0,133.0,0,61706,0,0,52,38.0,0.0,0.0,1186.6538461538462,1.3678905687544995,4.787616990640749
Chicago Lawn,12243.0,2414.0,148.0,0,54184,0,0,52,62.0,0.0,0.0,1042.0,2.568351284175642,6.130903065451532
North Austin,21146.0,4249.0,206.0,0,58513,0,0,49,75.0,0.0,0.0,1194.142857142857,1.7651212049894092,4.848199576370911
Burnside,8429.0,1853.0,105.0,0,54594,0,0,49,29.0,0.0,0.0,1114.1632653061224,1.5650296815974094,5.666486778197517
Brainerd,8491.0,1582.0,100.0,0,44007,0,0,40,38.0,0.0,0.0,1100.175,2.402022756005057,6.32111251580278
Morgan Park,12032.0,1808.0,80.0,0,51340,2,0,38,14.0,0.0,0.0,1351.0526315789473,0.7743362831858407,4.424778761061947
Homan Square,5615.0,1625.0,101.0,21,43881,0,5,35,30.0,0.14285714285714285,0.6,1253.7428571428572,1.8461538461538463,6.2153846153846155
West Rogers Park,16011.0,3456.0,104.0,0,38118,0,0,25,39.0,0.0,0.0,1524.72,1.128472222222222,3.009259259259259
The Bush,4463.0,1065.0,68.0,0,26639,0,0,25,18.0,0.0,0.0,1065.56,1.6901408450704223,6.384976525821597
Rosemoor,10324.0,1405.0,70.0,8,24443,0,0,25,24.0,0.0,0.32,977.72,1.708185053380783,4.98220640569395
East Side,14364.0,1865.0,47.0,0,27869,0,0,24,8.0,0.0,0.0,1161.2083333333333,0.42895442359249336,2.520107238605898
Rogers Park,18121.0,5933.0,208.0,20,31410,0,5,23,66.0,0.21739130434782608,0.8695652173913043,1365.6521739130435,1.1124220461823697,3.5058149334232263
Hegewisch,12816.0,1173.0,39.0,0,30300,0,0,23,8.0,0.0,0.0,1317.391304347826,0.6820119352088662,3.324808184143223
West Chatham,6293.0,1478.0,138.0,17,22564,0,3,22,47.0,0.13636363636363635,0.7727272727272727,1025.6363636363637,3.1799729364005414,9.336941813261165
Logan Square,24148.0,6167.0,103.0,4,27614,0,2,21,36.0,0.09523809523809523,0.19047619047619047,1314.952380952381,0.5837522296092104,1.670179990270796
Little Village,16902.0,4279.0,135.0,16,25475,0,11,21,49.0,0.5238095238095238,0.7619047619047619,1213.095238095238,1.1451273662070576,3.1549427436316897
Fernwood,8018.0,961.0,64.0,0,28960,0,0,21,20.0,0.0,0.0,1379.047619047619,2.081165452653486,6.659729448491156
Calumet Heights,8010.0,1014.0,53.0,0,20160,0,0,18,13.0,0.0,0.0,1120.0,1.282051282051282,5.226824457593689
