index,Address,Monthly Rent,Property Type,Bath,Bed,Availability,Contact,URL,Lat,Long,Coordinates,GEOID,State,County,City,Neighborhood,RegionID,parent-location,population,renter-occupied-households,median-gross-rent,median-household-income,median-property-value,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,eviction-filings,evictions,2016_evict_rate,2016_evict_filing_rate,2011-2015_rent_perc_change,2015-2019_rent_perc_change,potential_bad_landlord,bad_landlord_address,num_stops_quart_mi,num_stops_half_mi,num_stops_3quart_mi,num_stops_1_mi,er_percentile,efr_percentile
1288108,"1718 W 66th St 1, Chicago, IL 60636",800,Apt,1.0,2.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Apt/1288108,41.774,-87.6673,POINT (-87.6673 41.774),170316712002,IL,Cook,Chicago,West Englewood,269612,"Cook County, Illinois",537.0,130.0,935.0,16964.0,101200.0,0.0,98.32,0.0,0.0,0.0,6.0,2.0,1.54,4.62,0.0024813895781637717,0.11303630363036303,False,,0,2,2,2,0.2727876946448918,0.23984048613748576
4012748,"6130 S Eberhart Ave 1, Chicago, IL 60637",1200,Apt,2.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-2-bathroom-rental-Apt/4012748,41.783,-87.6136,POINT (-87.61360000000001 41.783),170314206001,IL,Cook,Chicago,West Woodlawn,403353,"Cook County, Illinois",1303.0,356.0,750.0,18750.0,,0.0,97.54,1.38,0.0,0.0,29.0,10.0,2.81,8.15,-0.04661654135338346,0.026813880126182965,False,,2,4,4,8,0.5761488796050133,0.687998480820357
4017021,"4827 S Seeley Ave , Chicago, IL 60609",600,Apt,1.0,1.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/1-bedroom-1-bathroom-rental-Apt/4017021,41.8058,-87.6756,POINT (-87.6756 41.8058),170316115001,IL,Cook,Chicago,Back of the Yards,403146,"Cook County, Illinois",1048.0,239.0,746.0,36131.0,102900.0,2.1,3.72,94.18,0.0,0.0,5.0,1.0,0.42,2.09,0.0,0.08339828526890102,False,,0,2,2,2,0.05839346752753513,0.05402582605393088
4036551,"828 E 88th Pl 2, Chicago, IL 60619",875,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4036551,41.73419,-87.603472,POINT (-87.603472 41.73419),170314408001,IL,Cook,Chicago,Burnside,137634,"Cook County, Illinois",757.0,266.0,842.0,22378.0,125000.0,0.0,99.6,0.0,0.0,0.0,21.0,6.0,2.26,7.89,0.01499605367008682,0.09720062208398134,False,,0,0,0,0,0.44274591720470946,0.6536270413976453
4036578,"4620 S Evans Ave 1, Chicago, IL 60653",1150,Apt,1.0,3.0,Check Availability,,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4036578,41.810646,-87.608165,POINT (-87.608165 41.810646),170318436002,IL,Cook,Chicago,Bronzeville,403145,"Cook County, Illinois",1546.0,477.0,914.0,26830.0,253900.0,3.82,86.8,8.21,0.0,0.0,26.0,13.0,2.73,5.45,0.0026827632461435278,0.030100334448160536,False,,0,0,4,6,0.5509874667679453,0.3401063425750095
4062682,"8200 S Escanaba Ave 1r, Chicago, IL 60617",1000,Duplex,2.0,4.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/4-bedroom-2-bathroom-rental-Duplex/4062682,41.7463,-87.5543,POINT (-87.5543 41.7463),170314603024,IL,Cook,Chicago,South Chicago,140437,"Cook County, Illinois",1453.0,268.0,903.0,20965.0,118200.0,1.65,93.81,4.54,0.0,0.0,16.0,8.0,2.99,5.97,0.02642113690952762,0.06708268330733229,False,,0,0,0,0,0.6358716293201672,0.4255601974933536
4062710,"211 N Laporte Ave 2, Chicago, IL 60644",950,Duplex,1.0,2.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/2-bedroom-1-bathroom-rental-Duplex/4062710,41.8849,-87.7488,POINT (-87.7488 41.8849),170312518005,IL,Cook,Chicago,South Austin,403120,"Cook County, Illinois",1602.0,304.0,945.0,29152.0,215300.0,1.69,89.83,8.49,0.0,0.0,13.0,3.0,0.99,4.28,-0.003479471120389701,0.05377094972067039,False,,2,4,4,8,0.16786935055070262,0.20974173946069122
4062715,"525 N Homan Ave , Chicago, IL 60624",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062715,41.8911,-87.7109,POINT (-87.7109 41.8911),170318367001,IL,Cook,Chicago,East Garfield Park,269577,"Cook County, Illinois",920.0,360.0,685.0,20500.0,108200.0,0.0,80.54,18.91,0.0,0.54,25.0,13.0,3.61,6.94,-0.012162162162162163,0.03419972640218878,False,,0,0,4,8,0.7458222559817699,0.5540258260539309
4062722,"1352 W 64th St 2, Chicago, IL 60636",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062722,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261,"Cook County, Illinois",1441.0,448.0,638.0,18438.0,101000.0,1.18,93.48,1.46,0.0,0.0,38.0,11.0,2.46,8.48,-0.018268467037331215,0.0744336569579288,False,,0,2,2,4,0.48414356247626283,0.7173376376756552
4062766,"1352 W 64th St 2, Chicago, IL 60636",1150,Apt,1.0,3.0,Available Now,(773) 961-4367,http://chicagoha.gosection8.com/Section-8-housing-in-Chicago-IL/3-bedroom-1-bathroom-rental-Apt/4062766,41.77799,-87.658923,POINT (-87.658923 41.77799),170318349002,IL,Cook,Chicago,Englewood,138261,"Cook County, Illinois",1441.0,448.0,638.0,18438.0,101000.0,1.18,93.48,1.46,0.0,0.0,38.0,11.0,2.46,8.48,-0.018268467037331215,0.0744336569579288,False,,0,2,2,4,0.48414356247626283,0.7173376376756552
