,apt_ind,wi_quart_mi,wi_half_mi,wi_3_quart,wi_1_mi
0,1288108,0,2,2,2
1,4012748,2,4,4,8
2,4017021,0,2,2,2
3,4036551,0,0,0,0
4,4036578,0,0,4,6
5,4062682,0,0,0,0
6,4062710,2,4,4,8
7,4062715,0,0,4,8
8,4062722,0,2,2,4
9,4062766,0,2,2,4
10,4062781,0,0,0,0
11,4062788,0,0,0,0
12,4062793,0,0,0,0
13,4062795,0,2,2,4
14,4062806,0,4,4,6
15,4062807,0,4,4,6
16,4062810,0,2,2,2
17,4062811,0,2,2,2
18,4062815,0,0,0,0
19,4062817,0,0,4,6
20,4062818,0,0,4,6
21,4062819,0,0,4,6
22,4062822,0,0,0,0
23,4062827,0,0,0,0
24,4062830,0,0,0,0
25,4062832,0,0,0,0
26,4062834,0,0,0,0
27,4062835,0,0,0,0
28,4062836,0,0,0,0
29,4062839,0,2,6,8
30,4062841,0,0,0,0
31,4062844,0,0,0,0
32,4062846,2,4,4,8
33,4062847,0,0,0,4
34,4062848,0,0,0,2
35,4062862,0,2,4,8
36,4063978,0,0,0,0
37,4064659,2,2,4,8
38,4064660,0,4,4,6
39,4066519,0,0,0,0
40,4068050,0,0,0,2
41,4068790,0,0,2,2
42,4069492,0,0,0,0
43,4076796,2,2,4,8
44,4077614,2,4,6,10
45,4079069,0,0,4,4
46,4079071,2,4,6,10
47,4079507,0,0,0,2
48,4082746,0,0,0,0
49,4091177,0,0,0,0
50,4091179,0,0,0,0
51,4091873,0,0,0,0
52,4093982,0,0,0,2
53,4094102,0,4,8,10
54,4095166,0,0,0,0
55,4098191,0,0,0,2
56,4108762,0,0,0,0
57,4108767,0,0,8,10
58,4114480,0,2,4,10
59,4115673,0,0,0,2
60,4120440,0,0,0,0
61,4122266,0,0,4,10
62,4138368,0,2,2,4
63,4138375,0,2,2,4
64,4138452,0,0,0,0
65,4138461,0,0,0,2
66,4138465,0,0,0,2
67,4138469,0,0,0,0
68,4138471,0,0,0,0
69,4141218,0,0,0,0
70,4141220,0,0,0,2
71,4142397,0,0,0,0
72,4146411,0,0,0,0
73,4146413,0,2,4,6
74,4146417,0,0,0,2
75,4146422,0,0,0,2
76,4146428,0,0,0,0
77,4146438,0,0,0,0
78,4146444,0,0,0,0
79,4146450,0,0,2,6
80,4155736,0,0,0,0
81,4156258,0,0,0,0
82,4158429,0,0,2,6
83,4159303,0,0,0,0
84,4160923,0,0,2,2
85,4172183,0,0,4,8
86,4175158,0,0,4,6
87,4177197,0,2,4,4
88,4180384,0,2,4,6
89,4186196,0,2,2,4
90,4186729,0,2,4,6
91,4187220,0,0,0,4
92,4188415,0,0,0,0
93,4188550,0,2,4,6
94,4191152,0,4,6,10
95,4193334,0,0,0,0
96,4193335,0,0,0,0
97,4194938,0,0,0,0
98,4198402,0,0,0,0
99,4198409,0,0,0,0
100,4198412,0,0,0,0
101,4198415,0,0,0,0
102,4198417,0,0,0,0
103,4198418,0,0,0,0
104,4200448,0,0,0,0
105,4204761,0,2,4,6
106,4205319,2,2,2,2
107,4205392,0,0,0,0
108,4207065,0,0,4,4
109,4208623,0,0,0,0
110,4208937,0,4,6,8
111,4216546,0,0,0,0
112,4216551,0,0,0,0
113,4216558,0,0,0,0
114,4216570,0,0,0,0
115,4216591,0,0,0,0
116,4216608,0,0,0,0
117,4217122,0,0,0,0
118,4218995,0,0,0,4
119,4225725,0,0,0,2
120,4225729,0,0,2,4
121,4225731,0,0,2,4
122,4226320,0,2,4,6
123,4228732,0,0,0,0
124,4229161,0,0,0,0
125,4229262,0,0,0,0
126,4231039,0,0,2,4
127,4235267,0,2,6,10
128,4235275,0,0,2,2
129,4235277,0,0,2,2
130,4235279,0,0,2,2
131,4235281,0,0,0,0
132,4235356,0,0,0,0
133,4240747,0,0,0,0
134,4242043,0,0,0,0
135,4244305,0,0,0,0
136,4244350,0,0,0,0
137,4244920,0,0,2,6
138,4249712,0,0,0,0
139,4251059,0,0,0,0
140,4251086,0,0,0,0
141,4256793,0,0,0,0
142,4256797,0,0,0,0
143,4260904,0,0,0,0
144,4263171,0,0,0,0
145,4263530,0,0,2,6
146,4266807,0,0,0,0
147,4266815,0,0,0,0
148,4269461,0,0,0,0
